My Spark params as displayed in Assistant	My Default Value	< dif >	wm100 v3.2.34.25 (from cfg file)	< dif >	wm100 v3.2.37.20 (from cfg file)
modify_type	1		modify_type		modify_type
map_0	255		map_0		map_0
map_1	255		map_1		map_1
map_2	255		map_2		map_2
map_3	255		map_3		map_3
map_4	255		map_4		map_4
map_5	255		map_5		map_5
map_6	255		map_6		map_6
map_7	255		map_7		map_7
map_8	255		map_8		map_8
map_9	255		map_9		map_9
map_10	255		map_10		map_10
map_11	255		map_11		map_11
map_12	255		map_12		map_12
map_13	255		map_13		map_13
map_14	255		map_14		map_14
map_15	255		map_15		map_15
map_16	255		map_16		map_16
map_17	255		map_17		map_17
map_18	255		map_18		map_18
map_19	255		map_19		map_19
map_20	255		map_20		map_20
map_21	255		map_21		map_21
map_22	255		map_22		map_22
map_23	255		map_23		map_23
map_24	255		map_24		map_24
map_25	255		map_25		map_25
map_26	255		map_26		map_26
map_27	255		map_27		map_27
map_28	255		map_28		map_28
map_29	255		map_29		map_29
R_RC_A	0		R_RC_A		R_RC_A
R_RC_E	0		R_RC_E		R_RC_E
R_RC_T	0		R_RC_T		R_RC_T
R_RC_R	0		R_RC_R		R_RC_R
R_RC_U	0		R_RC_U		R_RC_U
R_RC_U_FAILSAFE	0		R_RC_U_FAILSAFE		R_RC_U_FAILSAFE
R_RC_GEAR	0		R_RC_GEAR		R_RC_GEAR
R_RC_GO_HOME_SQUARE	1		R_RC_GO_HOME_SQUARE		R_RC_GO_HOME_SQUARE
R_RC_GO_HOME_SWITCH	0		R_RC_GO_HOME_SWITCH		R_RC_GO_HOME_SWITCH
R_RC_EMERGENCY_MODE	0		R_RC_EMERGENCY_MODE		R_RC_EMERGENCY_MODE
R_RC_EMERGENCY_STOP	0		R_RC_EMERGENCY_STOP		R_RC_EMERGENCY_STOP
R_RC_PAUSE_STOP	0		R_RC_PAUSE_STOP		R_RC_PAUSE_STOP
R_RC_IOC	0		R_RC_IOC		R_RC_IOC
R_RC_K1	0		R_RC_K1		R_RC_K1
R_RC_K2	0		R_RC_K2		R_RC_K2
R_RC_K3	0		R_RC_K3		R_RC_K3
R_RC_K4	0		R_RC_K4		R_RC_K4
R_RC_K5	0		R_RC_K5		R_RC_K5
R_RC_K6	0		R_RC_K6		R_RC_K6
R_RC_D1	0		R_RC_D1		R_RC_D1
R_RC_D2	0		R_RC_D2		R_RC_D2
R_RC_D3	0		R_RC_D3		R_RC_D3
R_RC_D4	0		R_RC_D4		R_RC_D4
R_RC_D5	0		R_RC_D5		R_RC_D5
R_RC_D6	0		R_RC_D6		R_RC_D6
R_RC_D7	0		R_RC_D7		R_RC_D7
R_RC_D8	0		R_RC_D8		R_RC_D8
R_RC_FARM_LEFT	0		R_RC_FARM_LEFT		R_RC_FARM_LEFT
R_RC_FARM_RIGHT	0		R_RC_FARM_RIGHT		R_RC_FARM_RIGHT
R_RC_FARM_SET_A	0		R_RC_FARM_SET_A		R_RC_FARM_SET_A
R_RC_FARM_SET_B	0		R_RC_FARM_SET_B		R_RC_FARM_SET_B
R_RC_FARM_SET_AB	0		R_RC_FARM_SET_AB		R_RC_FARM_SET_AB
R_RC_FARM_MANUAL_SPRAY	0		R_RC_FARM_MANUAL_SPRAY		R_RC_FARM_MANUAL_SPRAY
R_RC_FARM_FLOW_SPEED	0		R_RC_FARM_FLOW_SPEED		R_RC_FARM_FLOW_SPEED
R_RC_FARM_MODE	0		R_RC_FARM_MODE		R_RC_FARM_MODE
R_RC_C1	0		R_RC_C1		R_RC_C1
